run_id,tbias,kp,ddfsnow,ddfsnow_iceratio,ddfice,combined_rmse,glacier_wide_mb,mod_ABL_2023,mod_ABL_2024,mod_ELA_2023,mod_ELA_2024,mod_ELA_2025,mod_ACC_2023,mod_ACC_2024,mod_ACC_2025,rmse_ABL,bias_ABL,rmse_ELA,bias_ELA,rmse_ACC,bias_ACC
11023,2.0,2.75,0.0021,0.28,0.0074999999999999,0.6499665882556869,-0.3458592010022073,-3.862251688049481,-2.476369446374408,-0.07753515682794543,1.1032921984348836,1.645692187857446,1.4058634514613622,1.8797372040669873,2.459818981465438,0.4638562581247785,0.39568943278805535,0.6728351999197547,0.4638164098214614,0.7282869516048579,0.6801398789979292
2750,-7.0,0.5,0.0098,0.2,0.0489999999999999,0.6521528374890477,-2.228153034244516,-5.4407054555394705,-1.9331943436305767,0.308992572957119,0.8761547541308442,0.6724738666332627,0.8243897782324612,0.8952565027124672,1.041702469011641,0.8277876771341022,-0.12194989958502367,0.5203113322130613,0.1925403979070753,0.6376493454979767,-0.31455041668114353
9983,0.5,4.25,0.0065,0.6799999999999999,0.0095588235294117,0.653808855920854,-2.2723290804618435,-4.967486822491497,-3.6098301318404875,-1.0343756314183752,-0.09214912506663397,0.7913137425465275,0.9533637542807949,1.6430269506768171,2.5534068801491503,0.76766236603918,-0.7236584771659924,0.6848525667767731,-0.5384036713128273,0.5272722350349774,0.4815991950355875
6944,-2.5,2.0,0.0053999999999999,0.44,0.0122727272727272,0.6546410093783469,-1.3966832392686006,-3.2242740367297476,-2.6358931354975628,0.06541834413966455,0.5361526608001251,0.6724029406425551,1.4851998643992235,1.790676570309401,2.175581466364543,0.9020841042851288,0.6349164138863448,0.34523441178514647,-0.0020086848058850824,0.6936298123229454,0.5821526336910559
8396,-1.0,2.75,0.0053999999999999,0.44,0.0122727272727272,0.6554136487480259,-2.2824459549785394,-4.320736671102328,-3.2070976914524376,-1.1192486743126748,-0.35746702121770424,0.6562275212133972,1.4493978067846323,1.6343715613494472,1.8956817640331334,0.427303806774061,-0.19891718127738267,0.7906593280488456,-0.7001627247723273,0.63138282155452,0.42481704405573756
14051,5.0,5.0,0.0021,0.52,0.0040384615384615,0.6594307276363598,-0.6254807013844008,-4.371701755537645,-2.1714382573384734,-0.027715718868671524,0.6670174542120172,0.9077278034724701,1.1982359615413245,2.1592600255372063,3.182522300312709,0.33670410701749565,0.2934299935619409,0.34999895615255694,0.08900984627193857,0.9805702349686831,0.94500609579708
13930,5.0,4.25,0.0021,0.52,0.0040384615384615,0.6621313214677766,-1.463093355205312,-4.918618228140135,-3.047946691996013,-1.1208693525410918,-0.518501955083255,0.02795430882308747,0.498950150562794,1.407565483859476,2.2727161501810533,0.41828259483368185,-0.4182824600680739,0.9966388146732365,-0.9638056662670865,0.243280123813336,0.15807726153444113
12221,3.5,2.0,0.001,0.2,0.005,0.6710654305433393,-0.13892974896947288,-2.842388932559477,-2.0758982605973495,-0.01717737035649758,0.6176373153074168,1.0786339197660042,0.8564732838452671,1.309128658948357,1.7923676933111088,1.2358606694345349,1.1058564034215868,0.30642062185691726,0.13303128823897448,0.29790743280122317,0.084323212034911
9837,0.5,3.5,0.0043,0.44,0.0097727272727272,0.6734782405676294,-1.3797451048612401,-4.466164259842126,-2.68083244837889,-0.1820717764373958,1.024142897383948,1.7371494007101145,1.4614323353028302,1.9598656137199626,2.7796074496701317,0.04317867019851198,-0.008498354110507922,0.6746480358185318,0.4330735072188889,0.8678334733351639,0.8319684662309749
2739,-7.0,0.5,0.0087,0.2,0.0435,0.6765015482605657,-1.756371025399176,-4.539064577946337,-1.3512827383971775,0.36678212579501057,0.8762053818191234,0.7177833303447535,0.8243999462578047,0.8952783366744109,1.0417337756471443,0.9046114846637606,0.6198263418282428,0.5179666698365878,0.22692361265296246,0.6376316775996362,-0.31452931380688004
11307,2.0,4.25,0.0053999999999999,1.0,0.0053999999999999,0.6881326404542107,-1.7108865987353379,-3.8734257141886963,-3.195348802286199,-1.3484017148938299,-0.37435751904632775,0.25988382788706854,0.551756316606294,1.2735761004866908,1.9878507629620201,0.596747268065127,0.030612741762552353,0.9992452350556631,-0.9142918020176963,0.16383378125114678,0.03606106001833498
2774,-7.0,0.5,0.012,0.36,0.0333333333333333,0.6884208801963307,-1.537783189483429,-3.8623973469216493,-1.4807934536931249,0.0336557580772789,0.8762246437269399,0.5926116767622028,0.8244046584630886,0.8952866372759052,1.0417442002786774,0.9293042637605639,0.8934045996926129,0.530557453248897,0.07416402618880717,0.6376258054798107,-0.3145215013274429
5683,-4.0,2.0,0.012,0.76,0.0157894736842105,0.6884612225311235,-2.080696213250475,-3.427802304466764,-3.3207033379233755,-0.4455908918934184,0.17692368573138517,0.3402332737006754,1.007620094410649,2.34623956627102,2.2247576338029695,0.9018533692694379,0.1907471788049302,0.5325540611315677,-0.4028113108204526,0.6618938374150201,0.6245390981615463
5670,-4.0,2.0,0.0109,0.6000000000000001,0.0181666666666666,0.6896319124605716,-2.241123676938174,-3.8146791234813624,-3.6449129806199885,-0.3877680831603586,0.31408119236543186,0.6558694182521556,1.1723007189537977,2.4333561926568508,2.375280325201241,0.8659425679637256,-0.1647960520506755,0.3931222075675283,-0.2326058241809237,0.7834515779975771,0.7586457456039631
13933,5.0,4.25,0.0021,0.76,0.0027631578947368,0.6900040731528212,-0.7056419529417386,-3.099241778414907,-1.9176431623384715,-0.5028564621072262,-0.03493627811051203,0.21476214783199,0.5812620809516265,1.4306145117049927,2.2793435180500436,1.1112101195321626,1.0565575296233107,0.6138078564390951,-0.5343435307952494,0.2639374006334542,0.1954067035688876
14189,5.0,5.75,0.0031999999999999,1.0,0.0031999999999999,0.6908604282109918,-1.07421045082068,-3.6342246011462187,-2.5283626597904765,-0.7986302490303728,-0.276497088166999,-0.1801218145710759,0.39353516111409836,1.4982012551623298,2.5955562093442435,0.6163997040011012,0.48370636953165236,0.9196364081216228,-0.8450830505894826,0.41681910166129593,0.2607642085402239
5515,-4.0,1.25,0.0075999999999999,0.52,0.0146153846153846,0.6928596038612914,-2.181395550098667,-3.4095865703631247,-3.3094327122059433,-0.7160005588328063,-0.1819014573788635,0.01027790753822258,0.6305304676198555,1.4766874448505576,1.3933155667948303,0.9084685624577157,0.20549035871546595,0.7936478435655163,-0.7225413695578157,0.31631971619762955,-0.06815550691158552
11174,2.0,3.5,0.0043,0.92,0.0046739130434782,0.6945536525380007,-1.403613226170473,-3.3159337277452794,-2.7124994382598686,-1.1513870015007708,-0.2758331951822047,0.2926726029810789,0.512929418047339,1.1595996057682214,1.7625480013244132,0.8392910980120021,0.550783416997426,0.8807391683925773,-0.8048491979006323,0.20274340713004138,-0.08997432495334208
5671,-4.0,2.0,0.0109,0.6799999999999999,0.0160294117647058,0.7031567376643879,-1.8753323859397344,-3.2673947024519125,-3.1168887365397167,-0.22676707018733844,0.41086345078574843,0.6945388396259172,1.1728676951150994,2.435161900645492,2.3765260140706688,0.937116978107016,0.37285828050418535,0.3425361826874035,-0.13378825992522428,0.7846582294476097,0.7598518699437533
14188,5.0,5.75,0.0031999999999999,0.92,0.0034782608695652,0.7050750930382454,-1.2629897991649006,-4.048254199646362,-2.8093246714848563,-0.9660238777983848,-0.4191064769687036,-0.2683223324687243,0.35867176150083013,1.4923899462455044,2.5931827736283264,0.3436797971515789,0.13621056443439095,1.0366374413942203,-0.9778175624119377,0.41511602150955207,0.24641482712488696
9987,0.5,4.25,0.0065,1.0,0.0065,0.7056776825898884,-1.1915729597850384,-2.94072809638543,-2.0216295631827204,-0.2478592458708564,0.4091179474031036,1.0585233132435519,1.050445845612785,1.646918523314403,2.558694510918517,1.1835209034476435,1.0838211702159248,0.26896171252837175,-0.02007266174140032,0.5672692680523201,0.517019626615235
9854,0.5,3.5,0.0053999999999999,0.92,0.0058695652173913,0.7078410443268482,-1.1923142744302122,-2.776717484537611,-1.9493758677133946,-0.3586350353017741,0.22612758131512112,0.792519062739393,0.8265650306481256,1.3327834017062927,2.079510324838298,1.3101434725916994,1.201953323874497,0.3208839622370778,-0.20666279708242,0.29802693561578875,0.1779529190642388
6957,-2.5,2.0,0.0065,0.6000000000000001,0.0108333333333333,0.7082625471919788,-1.7046928738960165,-3.264961722383119,-2.847509773799537,-0.3841059248156895,-0.08088569157551634,-0.12269235120748012,1.2177766851398764,1.5504656329016342,1.8754764948347935,0.8867440580227187,0.5087642519086719,0.7557660730480439,-0.6225613225328953,0.49224301777691676,0.31290627095876805
9720,0.5,2.75,0.0043,0.76,0.0056578947368421,0.709286424660091,-1.3499418359949382,-2.896042493423802,-2.1017634523307365,-0.587077115629086,-0.03733782445811851,0.47544465704940875,0.5841420024026464,1.0183272301212507,1.5999929308590042,1.194092444745313,1.0660970271227308,0.5342982324314703,-0.47632342767926533,0.3248386886455604,-0.16751261220569957
14050,5.0,5.0,0.0021,0.44,0.0047727272727272,0.7127466124238069,-0.9785309802229973,-5.349823687948765,-2.6839609167217615,-0.4478050028789734,0.38559455031001266,0.7900361080465218,1.1979586308019623,2.1576988318816874,3.179192089275677,0.6021262662981467,-0.45189230233526345,0.39401084036813794,-0.184058114840813,0.9786412621687594,0.9432831839864423
9717,0.5,2.75,0.0043,0.52,0.0082692307692307,0.7128678684663857,-2.296531448692726,-4.64432565561427,-3.4818411314779834,-1.2855711663762546,-0.49813823044648475,0.2046530586871953,0.34306176709990993,1.0160507934622451,1.5968706395750079,0.6109268401969994,-0.49808339354612663,1.0072750480844495,-0.9530187793785148,0.30285998277955484,-0.24967226662094566
6956,-2.5,2.0,0.0065,0.52,0.0124999999999999,0.7151079635087433,-2.0724661752270626,-3.878030947784905,-3.403095708491249,-0.5863991456792932,-0.20767124788033753,-0.2670585688924859,1.2174243245409315,1.549496806439112,1.8733019972283285,0.7016133110200127,-0.0755633281380772,0.8907622526031999,-0.7803763208173722,0.4919825699486607,0.31174104273612396
5491,-4.0,1.25,0.0053999999999999,0.36,0.015,0.7163330831393294,-1.4484203961025108,-2.7048114156679346,-2.4249966632769464,0.14416704053209803,0.706384104074544,0.860466277280141,0.9640577141344079,1.6545839708795387,1.6968952201239653,1.277640094350469,1.0000959605275594,0.37320569152273625,0.14367247396226102,0.37527270176079414,0.20351230171263732
